['1002']; ['1005']; 0.25; 
['1005']; ['1002']; 0.5; 
['1000']; ['1006']; 0.2; 
['1006']; ['1000']; 1.0; 
['1002']; ['1004']; 0.5; 
['1004']; ['1002']; 1.0; 
['1000']; ['1001']; 0.8; 
['1001']; ['1000']; 1.0; 
['1001']; ['1002']; 0.7499999999999999; 
['1002']; ['1001']; 0.7499999999999999; 
['1001']; ['1003']; 0.5; 
['1003']; ['1001']; 1.0; 
['1000']; ['1005']; 0.4; 
['1005']; ['1000']; 1.0; 
['1000']; ['1004']; 0.4; 
['1004']; ['1000']; 1.0; 
['1002']; ['1003']; 0.25; 
['1003']; ['1002']; 0.5; 
['1001']; ['1005']; 0.5; 
['1005']; ['1001']; 1.0; 
['1002']; ['1006']; 0.25; 
['1006']; ['1002']; 1.0; 
['1004']; ['1006']; 0.5; 
['1006']; ['1004']; 1.0; 
['1001']; ['1004']; 0.25; 
['1004']; ['1001']; 0.5; 
['1000']; ['1003']; 0.4; 
['1003']; ['1000']; 1.0; 
['1003']; ['1005']; 0.5; 
['1005']; ['1003']; 0.5; 
['1000']; ['1002']; 0.8; 
['1002']; ['1000']; 1.0; 
['1000']; ['1004', '1001']; 0.2; 
['1001']; ['1004', '1000']; 0.25; 
['1004']; ['1001', '1000']; 0.5; 
['1000']; ['1002', '1001']; 0.6; 
['1001']; ['1002', '1000']; 0.7499999999999999; 
['1002']; ['1001', '1000']; 0.7499999999999999; 
['1000']; ['1006', '1002']; 0.2; 
['1002']; ['1006', '1000']; 0.25; 
['1006']; ['1002', '1000']; 1.0; 
['1000']; ['1004', '1002']; 0.4; 
['1002']; ['1004', '1000']; 0.5; 
['1004']; ['1002', '1000']; 1.0; 
['1001']; ['1005', '1003']; 0.25; 
['1003']; ['1005', '1001']; 0.5; 
['1005']; ['1003', '1001']; 0.5; 
['1001']; ['1005', '1002']; 0.25; 
['1002']; ['1005', '1001']; 0.25; 
['1005']; ['1002', '1001']; 0.5; 
['1000']; ['1003', '1001']; 0.4; 
['1001']; ['1003', '1000']; 0.5; 
['1003']; ['1001', '1000']; 1.0; 
['1000']; ['1005', '1002']; 0.2; 
['1002']; ['1005', '1000']; 0.25; 
['1005']; ['1002', '1000']; 0.5; 
['1001']; ['1003', '1002']; 0.25; 
['1002']; ['1003', '1001']; 0.25; 
['1003']; ['1002', '1001']; 0.5; 
['1000']; ['1006', '1004']; 0.2; 
['1004']; ['1006', '1000']; 0.5; 
['1006']; ['1004', '1000']; 1.0; 
['1001']; ['1004', '1002']; 0.25; 
['1002']; ['1004', '1001']; 0.25; 
['1004']; ['1002', '1001']; 0.5; 
['1002']; ['1006', '1004']; 0.25; 
['1004']; ['1006', '1002']; 0.5; 
['1006']; ['1004', '1002']; 1.0; 
['1000']; ['1003', '1002']; 0.2; 
['1002']; ['1003', '1000']; 0.25; 
['1003']; ['1002', '1000']; 0.5; 
['1000']; ['1005', '1003']; 0.2; 
['1003']; ['1005', '1000']; 0.5; 
['1005']; ['1003', '1000']; 0.5; 
['1000']; ['1005', '1001']; 0.4; 
['1001']; ['1005', '1000']; 0.5; 
['1005']; ['1001', '1000']; 1.0; 
['1001', '1000']; ['1004', '1002']; 0.25; 
['1002', '1000']; ['1004', '1001']; 0.25; 
['1002', '1001']; ['1004', '1000']; 0.33333333333333337; 
['1004', '1000']; ['1002', '1001']; 0.5; 
